,number_of_neurons,number_of_layers,batch_size,epochs,optimizer,loss,accuracy
0,512,1,128,10,RMSprop,0.3589471647381782,0.8824999928474426
1,512,2,128,10,RMSprop,0.3986224021315575,0.8795999884605408
2,512,3,128,10,RMSprop,0.4078842955827713,0.8759999871253967
3,512,1,128,10,sgd,0.47006817622184754,0.8373000025749207
4,512,2,128,10,sgd,0.4547829738140106,0.8414000272750854
5,512,3,128,10,sgd,0.4298257086753845,0.8483999967575073
