Company;Revenue;;;Growth rate;;;EBIT;;;EBIT margin;;;P/B;;;ROE %;;;ROI %;;;Adjusted P/E;;;Adjusted EPS;;;Dividend;;;Dividend yield;;;EV/EBITDA;;;EV/EBIT;;;EV/S;;
Aspo;502,4;540,9;589;9,80 %;7,70 %;8,90 %;23,1;20,6;21,7;4,60 %;3,80 %;3,70 %;2,8;2,1;2,1;15,40 %;10,90 %;12,80 %;9,50 %;7,20 %;6,30 %;17,7;13,8;16,2;0,56;0,58;0,48;0,43;0,44;0,45;4,30 %;5,50 %;5,80 %;12,3;12;9,9;19,5;22,5;22,7;0,9;0,9;0,8
Basware;149,2;141,4;148,2;0,40 %;-5,20 %;4,80 %;-9,4;-1,5;-12,6;-6,30 %;-1,00 %;-8,50 %;5,9;5,1;4,1;-9,20 %;-6,20 %;-21,20 %;-6,10 %;-0,90 %;-7,10 %;-78,1;-32;-21,1;-0,61;-1,23;-1,2;0;0;0;0,00 %;0,00 %;0,00 %;1 073,30;65,3;121,7;-75,5;-409,4;-32,8;4,8;4,3;2,8
Cargotec;3 249,00;3 303,00;3 806,50;-7,50 %;1,70 %;15,20 %;222,1;190;205,9;6,80 %;5,80 %;5,40 %;2,1;1,2;1,4;9,40 %;7,50 %;7,90 %;9,90 %;8,40 %;8,80 %;18,1;10,7;11,8;2,61;2,49;2,73;1,05;1,1;1,2;2,20 %;4,10 %;3,70 %;12;9;8,3;15,9;12,6;13,2;1,1;0,7;0,7
Elisa;1 787,60;1 831,50;1 838,10;9,30 %;2,50 %;0,40 %;378,1;403,8;397,3;21,20 %;22,00 %;21,60 %;5;5,1;6,2;33,50 %;29,20 %;25,10 %;17,70 %;18,20 %;17,60 %;17,8;18,3;25,8;1,84;1,97;1,93;1,65;1,75;1,8;5,00 %;4,90 %;3,60 %;10,4;10,7;13,4;16,7;16,9;22,3;3,5;3,7;4,8
Telia company;79 867,00;83 559,40;86 238,40;-5,10 %;4,60 %;3,20 %;12 913,00;12 403,90;12 012,40;16,20 %;14,80 %;13,90 %;1,6;1,7;1,8;8,30 %;9,30 %;8,60 %;7,20 %;7,30 %;6,70 %;13,9;17,7;17,7;2,64;2,37;2,29;2,3;2,36;2,4;6,30 %;5,60 %;5,90 %;6,3;9,6;8,7;12,4;20,1;22;2;3;3,1
Solteq;50,7;56,9;58,3;-19,60 %;12,10 %;2,50 %;0,3;2,5;4,4;0,60 %;4,30 %;7,50 %;1,4;1,2;1,2;-7,30 %;1,70 %;8,70 %;0,70 %;5,00 %;8,10 %;91,9;24,9;14,5;0,02;0,05;0,1;0;0;0,03;0,00 %;0,00 %;2,00 %;22,1;10,8;6,8;164,6;20,9;12,6;1;0,9;0,9
Caverion;2 275,80;2 204,10;2 123,20;-3,70 %;-3,20 %;-3,70 %;-26,5;-35,9;50;-1,20 %;-1,60 %;2,40 %;3,1;2,5;4,3;-15,00 %;-20,80 %;12,40 %;-7,70 %;-11,20 %;12,00 %;-32,5;57;28;-0,18;0,09;0,27;0;0,05;0,14;0,00 %;1,00 %;1,80 %;205,3;-74,2;10,6;-30,2;-18,2;24,8;0,4;0,3;0,6
Metsa Board;1 848,60;1 944,10;1 925,40;7,50 %;5,20 %;-1,00 %;207,1;246,4;184,8;11,20 %;12,70 %;9,60 %;2,2;1,4;1,5;13,60 %;16,30 %;10,80 %;11,90 %;14,00 %;10,30 %;18,6;8,7;13,8;0,39;0,59;0,41;0,21;0,29;0,29;2,90 %;5,70 %;5,10 %;9,7;6,4;7,7;14;8,8;12,4;1,6;1,1;1,2
Huhtamaki;2 988,70;3 103,60;3 369,30;4,30 %;3,80 %;8,60 %;264,3;225,5;282,5;8,80 %;7,30 %;8,40 %;3,1;2,3;3,2;16,80 %;13,10 %;14,80 %;13,20 %;10,40 %;12,00 %;18,4;15,9;21,9;1,9;1,7;1,85;0,8;0,84;0,92;2,30 %;3,10 %;2,30 %;11,3;9,6;11,4;16,4;16,7;18;1,5;1,2;1,5
Raute;148,1;94;149;30,90 %;-36,50 %;58,50 %;11,2;2,6;9,6;7,50 %;2,80 %;6,50 %;3,1;1,9;2,4;24,40 %;27,60 %;17,00 %;28,60 %;33,80 %;18,40 %;13,6;7,7;14,3;2,13;2,78;1,9;1,25;1,4;1,45;4,30 %;6,60 %;5,40 %;6,7;4,5;7,1;8,3;30,1;9,9;0,6;0,8;0,6
