Company;Revenue;;;Growth rate;;;EBIT;;;EBIT margin;;;P/B;;;ROE %;;;ROI %;;;Adjusted P/E;;;Adjusted EPS;;;Dividend;;;Dividend yield;;;EV/EBITDA;;;EV/EBIT;;;EV/S;;
Investors House;6,4;8,3;11,1;105,80 %;28,30 %;33,80 %;6;4,9;5,5;92,70 %;59,50 %;49,50 %;1;0,8;0,9;14,90 %;5,40 %;5,80 %;10,60 %;6,20 %;5,50 %;6,2;14,5;15;1,2;0,41;0,44;0,21;0,23;0,25;2,80 %;3,80 %;3,80 %;11,2;14,2;16,2;11,2;14,2;16,2;10,4;8,4;8
Hoivatilat;12,4;17,2;23,3;66,90 %;38,90 %;35,80 %;33,3;48,5;42,2;269,30 %;282,20 %;180,80 %;1,4;1,2;2,2;25,00 %;25,40 %;17,80 %;17,30 %;17,00 %;10,60 %;6,9;5,4;13,1;1,05;1,45;1,22;0,13;0,17;0,21;1,80 %;2,20 %;1,30 %;8,5;7,4;16,2;8,5;7,4;16,2;23;21;29,4
Marimekko;102,3;111,9;123,7;2,70 %;9,30 %;10,50 %;8,4;17,7;17,1;8,20 %;15,80 %;13,80 %;2,7;4,2;8,3;19,20 %;38,80 %;33,60 %;24,50 %;47,70 %;28,90 %;13,9;20,5;24,1;0,73;1,01;1,61;0,5;1,85;1,3;5,00 %;8,90 %;3,30 %;6,8;7,2;11,1;9,4;8,2;19,2;0,8;1,3;2,7
Privanet;14;8,3;-0,9;10,80 %;-40,60 %;-110,60 %;4,8;-3,4;-11,1;34,30 %;-40,60 %;1259,00 %;2,6;1;1,2;25,30 %;-23,80 %;-130,30 %;26,80 %;-18,80 %;-67,30 %;12;-3,6;-0,6;0,27;-0,22;-0,55;0,23;0;0;7,10 %;0,00 %;0,00 %;8,7;-5;-1,3;8,9;-4,5;-1,3;3,1;1,8;-16
Teleste;234,6;250,3;240;-9,60 %;6,70 %;-4,10 %;-7,5;9,7;1,6;-3,20 %;3,90 %;0,70 %;1,7;1,2;1,4;-11,80 %;9,30 %;-1,20 %;-6,90 %;9,30 %;1,50 %;126,8;14;15,3;0,05;0,38;0,35;0,1;0,2;0,1;1,50 %;3,80 %;1,80 %;24,6;6,4;11,5;-17,6;10,3;78,5;0,6;0,4;0,5
Uutechnic;32,1;16,5;16,2;-11,70 %;-48,40 %;-2,10 %;0;2;0,9;0,00 %;12,40 %;5,80 %;2;1,8;1,7;-5,60 %;17,50 %;6,00 %;0,00 %;14,00 %;7,20 %;-35,2;10,4;28,9;-0,01;0,03;0,01;0;0;0;0,00 %;0,00 %;0,00 %;36,7;10,1;14,3;-5 789,30;11,3;20,7;0,7;1,4;1,2
Sotkamo Silver;0;0;209,4;0,00 %;0,00 %;5233780,00 %;-21,4;-53,9;-19,7;-534500,00 %;-1348380,00 %;-9,40 %;1,4;1,7;1,9;-4,90 %;-19,90 %;-10,80 %;-6,60 %;-11,40 %;-3,10 %;-27,7;-7,9;-17,4;-0,14;-0,49;-0,24;0;0;0;0,00 %;0,00 %;0,00 %;-14,5;-21,3;20,1;-14,5;-12,7;-47;77 463,20;170 823,10;4,4
Vaisala;332,5;348,8;401,6;4,20 %;4,90 %;15,10 %;40,9;38,9;38,6;12,30 %;11,20 %;9,60 %;4,4;3,3;6,3;15,00 %;16,00 %;16,50 %;22,50 %;19,00 %;17,10 %;57,7;18,6;29,1;0,77;0,89;1,09;1,05;0,58;0,6;2,40 %;3,50 %;1,90 %;14,2;11,2;18,8;17,6;14,6;29,9;2,2;1,6;2,9
Consti Yhtiot;300,2;315,8;314,3;14,80 %;5,20 %;-0,50 %;-0,4;-2,1;5;-0,10 %;-0,70 %;1,60 %;2,6;1,8;1,8;-3,90 %;-9,60 %;10,00 %;-0,80 %;-4,60 %;9,60 %;-60,7;-18,1;20,2;-0,14;-0,3;0,34;0;0;0;0,00 %;0,00 %;0,00 %;47,3;-133,1;9;-206;-29,1;15,5;0,3;0,2;0,2
Vincit;41,1;43,5;49,1;28,30 %;5,60 %;13,00 %;4,4;4,1;2,6;10,60 %;9,50 %;5,30 %;5,5;2,8;3,3;20,70 %;36,00 %;7,20 %;27,40 %;19,80 %;11,20 %;25,1;13,8;20,7;0,28;0,37;0,25;0,13;0,3;0,15;1,90 %;5,80 %;2,90 %;12,9;9;12,4;18,1;12,9;23,5;1,9;1,2;1,2
Heeros;7,3;8;8,8;9,40 %;10,20 %;9,60 %;-0,8;-0,3;-0,2;-10,60 %;-3,90 %;-2,50 %;4,3;4,4;7,1;-29,70 %;-22,60 %;-19,00 %;-19,20 %;-8,50 %;-5,60 %;-12,4;-17,3;-34;-0,2;-0,12;-0,08;0;0;0;0,00 %;0,00 %;0,00 %;58,1;14,2;14,8;-14,7;-32,7;-62;1,6;1,3;1,5
Alma Media;367,3;295,3;343,3;4,00 %;-19,60 %;16,20 %;46,5;20,7;61,3;12,70 %;7,00 %;17,80 %;4,3;2,8;4,2;25,20 %;28,10 %;25,30 %;20,90 %;23,10 %;20,90 %;16,1;12;16,9;0,45;0,46;0,52;0,24;0,35;0,4;3,30 %;6,30 %;4,50 %;11,3;8;10,5;16,3;29,7;14,3;2,1;2,1;2,6
Neo Industrial;110,9;103,8;97,6;9,80 %;-6,40 %;-6,00 %;5,1;1;-0,6;4,60 %;1,00 %;-0,60 %;2,8;1,5;2,2;33,00 %;-5,60 %;-29,20 %;24,80 %;5,60 %;-1,10 %;10,5;21;412,1;0,48;0,1;0,01;0,08;0,02;0;1,60 %;1,00 %;0,00 %;5,2;6,9;10,1;7,4;24;-67,2;0,3;0,2;0,4
Exel Composites;86,3;96,6;105;18,00 %;12,00 %;8,70 %;6,1;2,2;6,4;7,10 %;2,30 %;6,10 %;2,7;1,8;2,8;15,20 %;1,40 %;14,00 %;14,90 %;4,40 %;11,70 %;18,2;17,1;15;0,36;0,23;0,43;0,3;0,18;0,2;4,60 %;4,50 %;3,10 %;9,3;7,8;8,8;14,1;32,7;15,4;1;0,7;0,9
Ahlstrom - Munksjo;2 323,60;2 996,90;2 925,90;8,20 %;29,00 %;-2,40 %;106,4;129,5;119,5;4,60 %;4,30 %;4,10 %;1,7;1,2;1,5;4,00 %;5,60 %;3,80 %;6,30 %;6,50 %;5,10 %;29,1;15,2;26,8;0,62;0,8;0,56;0,52;0,52;0,52;2,90 %;4,30 %;3,50 %;7,8;8,3;9,2;20;18,6;22,4;0,9;0,8;0,9
Qt;36,3;45,6;56,6;11,90 %;25,70 %;24,20 %;-3,2;-2,3;0,6;-8,80 %;-5,10 %;1,10 %;6,1;10,3;22,7;-22,60 %;-12,40 %;0,70 %;-18,10 %;-11,60 %;2,70 %;-38,5;-78,6;3 336,70;-0,14;-0,1;0,01;0;0;0;0,00 %;0,00 %;0,00 %;-49,3;-143,3;170,5;-35,2;-77;783,2;3,1;3,9;8,4
Fondia;17,5;20,2;21,5;17,60 %;15,90 %;6,00 %;2,3;2,1;1,1;13,10 %;10,60 %;5,30 %;6,9;7,1;5,9;31,40 %;23,60 %;12,20 %;47,90 %;31,20 %;15,90 %;23,2;31,2;39,6;0,5;0,41;0,25;0,35;0,37;0,39;3,00 %;2,90 %;4,00 %;15,3;16,5;17,8;16,7;20,4;27,9;2,2;2,2;1,5
Remedy;17,2;20,1;33,5;4,60 %;17,30 %;66,30 %;2;0,6;7,8;11,70 %;3,00 %;23,10 %;3,6;3,6;5,6;10,00 %;2,40 %;25,00 %;12,80 %;2,50 %;27,90 %;40,3;152;24,8;0,16;0,04;0,52;0;0,1;0,25;0,00 %;1,50 %;2,00 %;25,8;55,2;15,2;28,4;99,8;16,8;3,3;3;3,9
Next Games;32,5;35,2;35,2;4,40 %;8,60 %;-0,10 %;-5,1;-16,9;-7,4;-15,60 %;-48,00 %;-21,10 %;4,3;0,9;1;-27,40 %;-58,00 %;-31,40 %;-23,80 %;-49,30 %;-26,00 %;-27,4;-1,1;-3,4;-0,34;-0,98;-0,26;0;0;0;0,00 %;0,00 %;0,00 %;-30,4;-1,2;-6,3;-28,1;-1,1;-2,9;4,4;0,5;0,6
Afarak Group;198,8;194;150,7;29,40 %;-2,40 %;-22,30 %;11,4;-14,1;-50,7;5,70 %;-7,30 %;-33,60 %;1,3;1,3;1,7;3,60 %;-11,20 %;-42,30 %;6,30 %;-7,80 %;-27,90 %;35;-16,4;-2,6;0,02;-0,04;-0,19;0,02;0;0;2,40 %;0,00 %;0,00 %;12,7;-198,6;-9,7;19,3;-14,3;-3,6;1,1;1;1,2
Endomines;121;104;20,1;19,70 %;-14,00 %;-80,70 %;-64,8;-48,5;-53,7;-53,50 %;-46,60 %;-267,20 %;5,9;0,8;1,7;-86,60 %;-25,10 %;-22,30 %;-38,60 %;-16,30 %;-10,50 %;-3,9;-5,4;-6,3;-4,53;-1,1;-0,91;0;0;0;0,00 %;0,00 %;0,00 %;-59,3;-73,7;-16,7;-5,2;-8,4;-14;2,8;3,9;37,5
SSAB B;66 059,00;74 941,30;77 113,00;19,30 %;13,40 %;2,90 %;3 838,00;4 941,00;2 787,50;5,80 %;6,60 %;3,60 %;0,7;0,4;0,5;4,30 %;6,30 %;3,30 %;5,60 %;6,90 %;3,80 %;16,4;6,8;14,4;2,23;3,68;2,05;1;1,5;1;2,70 %;6,00 %;3,40 %;6,8;4,2;5,8;13,4;7,3;14,7;0,8;0,5;0,5
Incap;48,5;59;71,7;25,70 %;21,50 %;21,50 %;4,5;8,6;10,2;9,30 %;14,60 %;14,30 %;2,6;2;3;34,00 %;44,70 %;38,50 %;26,30 %;43,90 %;40,60 %;8,7;5,4;9,6;0,71;1,34;1,78;0;0;0,55;0,00 %;0,00 %;3,20 %;6,3;3,8;6,5;6,9;4;7,2;0,6;0,6;1
Kesla;42,7;45,1;49,2;1,70 %;5,50 %;9,20 %;1,5;2,2;2,5;3,40 %;5,00 %;5,00 %;1,3;1,1;1,3;7,50 %;10,10 %;12,80 %;6,10 %;9,50 %;10,40 %;17,6;9,7;7,1;0,25;0,4;0,7;0,1;0,15;0,2;2,30 %;3,80 %;4,00 %;9;6,9;7,2;18;10,6;10,9;0,6;0,5;0,5
Lehto Group;597,6;721,5;640,4;65,20 %;20,70 %;-11,20 %;64,6;37,2;-31,7;10,80 %;5,20 %;-5,00 %;4,9;1,5;1,1;38,70 %;18,30 %;-20,10 %;40,40 %;16,00 %;-9,60 %;14,3;8,6;-4,8;0,89;0,49;-0,49;0,34;0,24;0;2,70 %;5,60 %;0,00 %;10,4;7,6;-13,1;10,9;8,3;-9,7;1,2;0,4;0,5
Nurminen Logistics;75,8;78,9;70,8;51,60 %;4,10 %;-10,20 %;1,7;-6;-2,2;2,20 %;-7,70 %;-3,00 %;1,8;0,9;2;-12,40 %;-69,20 %;-63,10 %;5,20 %;-18,30 %;-4,80 %;-28,9;-5,9;-2,5;-0,02;-0,04;-0,12;0;0;0;0,00 %;0,00 %;0,00 %;10,3;9,2;16,4;21,1;-3;-24,7;0,5;0,2;0,8
Wulff-Yhtiot;56,9;55,9;56,6;-4,00 %;-1,80 %;1,20 %;0,1;1,5;1,7;0,10 %;2,70 %;2,90 %;1;1;1;-1,70 %;9,10 %;9,40 %;0,50 %;10,80 %;9,10 %;-56,8;11,4;9,7;-0,03;0,15;0,18;0,05;0,1;0,11;3,00 %;5,90 %;6,10 %;28,4;7,1;6,5;177,1;9;12,2;0,2;0,2;0,4
Silmaasema;118,3;122,9;129,5;16,70 %;3,90 %;5,40 %;1,6;5,5;6,8;1,40 %;4,50 %;5,30 %;2,4;1,5;1,9;-2,90 %;8,10 %;8,00 %;2,20 %;6,90 %;7,20 %;22,3;17,2;19,5;0,3;0,25;0,31;0;0,1;0,13;0,00 %;2,30 %;2,20 %;18,6;7,8;6,7;80,2;16,4;20;1,1;0,7;1,1
Kamux;454,9;527,8;639;12,40 %;16,00 %;21,10 %;16,2;18,9;25,3;3,60 %;3,60 %;4,00 %;4,8;3,2;3,8;26,70 %;22,90 %;24,80 %;22,40 %;21,50 %;22,10 %;19,9;12,4;16,4;0,35;0,44;0,46;0,12;0,16;0,22;1,70 %;2,90 %;2,90 %;16,6;11,3;10,3;17,8;12;13,6;0,6;0,4;0,5
PunaMusta Media;75,8;87,6;107,6;-2,30 %;15,60 %;22,80 %;2,4;0,7;2,4;3,20 %;0,80 %;2,30 %;1,9;1,6;1,7;7,70 %;3,70 %;6,40 %;8,00 %;4,00 %;5,00 %;24,8;76,2;22,7;0,33;0,08;0,29;0,4;0,25;0,25;4,90 %;4,00 %;3,80 %;11,8;14,7;9,5;40,9;116,4;41,2;1,3;1;0,9
Aktia;210,3;210,1;218,5;-0,50 %;-0,10 %;4,00 %;49,1;67,6;70,6;23,40 %;32,20 %;32,30 %;1;1,1;1,1;6,50 %;9,40 %;9,70 %;8,10 %;11,40 %;11,80 %;12,6;11,6;13,2;0,72;0,77;0,73;0,57;0,61;0,63;6,30 %;6,80 %;6,50 %;12,3;9,2;9,4;12,3;9,2;9,4;2,9;3;3,1
Sievi Capital;1,5;3,7;1,5;-28,10 %;154,10 %;-59,50 %;16;16,3;16,3;1097,50 %;440,50 %;1086,70 %;1,8;1,1;1;27,10 %;22,40 %;17,90 %;27,70 %;22,10 %;21,10 %;7,5;5,2;6,1;0,22;0,23;0,23;0;0,03;0,19;0,00 %;2,50 %;13,60 %;7;4,5;2,6;7;4,5;2,6;76,6;19,9;28,6
Digia;94,5;112,1;131,1;9,30 %;18,60 %;17,00 %;1,9;6,5;9,5;2,00 %;5,80 %;7,20 %;1,4;1,6;2,2;2,50 %;10,20 %;13,90 %;3,50 %;9,80 %;12,60 %;64,7;16,3;16,6;0,04;0,18;0,27;0,04;0,07;0,1;1,70 %;2,50 %;2,30 %;22,1;10,9;9,4;36,8;15,3;14,8;0,7;0,9;1,1
SSH Communications Security;16,2;18,3;14,8;7,30 %;13,00 %;-19,30 %;-1,7;0,5;-0,8;-10,50 %;3,00 %;-5,10 %;5,3;4,9;4;-29,70 %;-3,00 %;-14,20 %;-16,10 %;4,00 %;-5,60 %;-20,6;-166,6;-26,1;-0,09;-0,01;-0,05;0;0;0;0,00 %;0,00 %;0,00 %;202,4;26,5;44,7;-39;117,4;-62,2;4,1;3,5;3,2
F-Secure;169,8;190,7;218,3;7,20 %;12,40 %;14,40 %;11,5;4,5;8,2;6,80 %;2,40 %;3,70 %;8,6;5,5;7,2;15,10 %;1,20 %;5,80 %;16,50 %;5,70 %;7,50 %;55,1;52,5;105;0,07;0,04;0,03;0,04;0;0;1,00 %;0,00 %;0,00 %;29,1;27,1;16,4;45;82,4;63,7;3,1;2;2,4
Evli Pankki;71,4;68,5;73,8;19,00 %;-4,10 %;7,70 %;21,3;18,9;22,1;29,80 %;27,60 %;30,00 %;3,1;2,3;3,6;24,40 %;21,70 %;21,10 %;3,20 %;3,00 %;3,20 %;13,5;10,4;17,2;0,71;0,7;0,68;0,52;0,61;0,65;5,40 %;8,40 %;5,60 %;9,4;8;10,9;10,4;8,8;12,6;3,1;2,4;3,8
Loudspring;0;0,1;0,1;-92,70 %;144,80 %;109,20 %;-1,3;-1,8;-1,8;-4500,00 %;-2464,80 %;-1216,80 %;3;0,8;1;-7,30 %;-20,40 %;-18,60 %;-6,10 %;-9,90 %;-14,10 %;-43,8;-2,6;-5;-0,06;-0,13;-0,07;0;0;0;0,00 %;0,00 %;0,00 %;-57;-6,6;-7,7;-49,8;-5,9;-6,9;2 243,00;144,5;83,4
EAB Group;17,6;19,6;19,1;2,80 %;11,40 %;-2,80 %;-2,6;1,8;-0,2;-14,80 %;9,20 %;-0,80 %;3,1;1,8;2;-15,50 %;7,30 %;-1,90 %;-13,70 %;6,50 %;-0,50 %;-21,2;26,6;-99,1;-0,2;0,11;-0,03;0,06;0,1;0,05;1,40 %;3,60 %;1,70 %;-83;11,6;20,1;-22,4;26,4;-320,6;3,3;2,4;2,5
Titanium;10,2;16,7;17,9;52,30 %;64,50 %;7,10 %;4,8;8,1;6,4;47,70 %;48,50 %;35,70 %;3,8;3;5;21,80 %;31,30 %;20,40 %;40,40 %;42,20 %;29,20 %;11,7;9;14,2;0,55;0,79;0,75;0,55;0,7;0,75;8,60 %;9,80 %;7,00 %;7,6;6,1;10,5;9,5;7,5;15,3;4,5;3,7;5,5
Terveystalo;689,5;744,7;1 031,50;26,10 %;8,00 %;38,50 %;28,2;75,4;85,2;4,10 %;10,10 %;8,30 %;2,5;2;2,8;2,10 %;14,20 %;10,60 %;4,20 %;9,10 %;8,00 %;36,2;16,8;25;0,25;0,48;0,47;0,06;0,2;0,2;0,70 %;2,50 %;1,70 %;20,5;12,3;11,9;49,5;19;24,3;2;1,9;2
Gofore;34;50,6;64,2;82,40 %;49,00 %;26,90 %;5,4;6,1;6,7;15,80 %;12,10 %;10,40 %;5,1;5;3,8;30,30 %;23,80 %;20,10 %;40,00 %;25,20 %;21,80 %;19;20,2;15,8;0,37;0,42;0,48;0,15;0,19;0,25;2,10 %;2,20 %;3,30 %;14,2;14,5;11,8;15,5;16,6;15,1;2,4;2;1,6
Efecte;10,6;12,2;14,1;27,50 %;15,20 %;15,70 %;-0,1;-2,4;-1,4;-1,00 %;-19,50 %;-10,20 %;5,6;6,6;16;-26,40 %;-53,60 %;-51,30 %;-3,40 %;-52,70 %;-52,20 %;1 085,40;-10,3;-23,5;0,01;-0,37;-0,24;0;0;0;0,00 %;0,00 %;0,00 %;83,5;-9,2;-31;-230,7;-7,6;-21,1;2,4;1,5;2,2
Admicom;8,1;11,5;15,6;38,20 %;41,50 %;36,50 %;2,5;4,3;6,6;31,00 %;37,50 %;42,30 %;0;8,8;19,3;57,30 %;45,00 %;38,20 %;74,50 %;59,40 %;47,80 %;0;27,1;59;0,47;0,76;1,09;0,3;0,48;0,73;0,00 %;2,30 %;1,10 %;-0,7;18,5;41,7;-0,8;20,7;45,1;-0,2;7,8;19,1
Harvia;60,1;61,9;72,1;20,00 %;3,10 %;16,40 %;9,3;9,4;12,8;15,40 %;15,10 %;17,80 %;0;1,4;2,7;16,10 %;15,90 %;13,70 %;9,30 %;9,20 %;12,10 %;0;10,9;19,6;0,46;0,49;0,51;0,18;0,37;0,4;0,00 %;6,90 %;4,00 %;6,5;10,4;13,5;7,9;12,8;16,8;1,2;1,9;3
Enersense;47;47,3;53,8;27,50 %;0,60 %;13,70 %;1,7;-1,7;-1,1;3,70 %;-3,50 %;-2,00 %;0;2,1;1,3;30,30 %;-32,50 %;-15,70 %;25,10 %;-17,90 %;-9,20 %;0;-15,9;-7,5;0,22;-0,2;-0,22;0;0;0;0,00 %;0,00 %;0,00 %;1,2;-15,2;500,7;1,3;-11,3;-9,8;0;0,4;0,2
Eezy;109,6;124,8;218,3;21,70 %;13,90 %;74,90 %;6,1;1,8;4,4;5,60 %;1,50 %;2,00 %;0;0,9;1,6;201,30 %;-10,70 %;0,10 %;15,40 %;2,70 %;3,60 %;0;12,3;10,2;0,42;0,27;0,66;0;0,32;0,2;0,00 %;9,60 %;3,00 %;5,4;6,2;12,7;8,2;33,1;51,1;0,5;0,5;1
Tallink;967;949,7;951,1;3,10 %;-1,80 %;0,20 %;71,9;63,5;71,8;7,40 %;6,70 %;7,60 %;1;0,8;0,8;5,70 %;4,70 %;5,50 %;5,20 %;4,60 %;5,10 %;18;17;14,5;0,07;0,06;0,07;0,03;0,12;0,05;2,40 %;11,80 %;5,20 %;8,3;7,8;7,4;18,2;17,4;17,2;1,4;1,2;1,3
Fellow Finance;8,7;12;14,2;54,80 %;38,20 %;19,00 %;2,5;3,4;2,1;28,80 %;28,10 %;15,00 %;0;3,2;1,9;29,80 %;8,50 %;3,80 %;13,20 %;12,70 %;6,40 %;0;24;47,4;0,15;0,27;0,08;0,07;0,04;0,04;0,00 %;0,60 %;1,00 %;5,3;14,4;16,5;6,1;16,3;19,8;1,8;4,6;3
Viafin Service;26,2;31,2;58,6;7,30 %;19,00 %;87,80 %;1,4;1,4;2,4;5,40 %;4,40 %;4,10 %;0;1,5;1,7;0,00 %;23,70 %;6,70 %;0,00 %;37,10 %;17,90 %;0;13;11;0;0,39;0,8;0;0;0,22;0,00 %;0,00 %;2,50 %;0;4,6;5,3;0;7,7;8,8;0;0,3;0,4
Rush Factory;4,1;2,9;4;3,10 %;-29,00 %;38,70 %;1,3;-0,1;0,7;32,30 %;-2,10 %;18,20 %;0;5,7;3,4;499,90 %;-72,00 %;34,20 %;517,40 %;-6,80 %;44,80 %;0;-34;11,2;0;-0,1;0,25;0;0;0;0,00 %;0,00 %;0,00 %;-0,2;-32,4;6,3;-0,2;-105,2;7,2;-0,1;2,2;1,3
Cibus Nordic Real Estate;0;28,9;60,3;0,00 %;722475,00 %;108,60 %;0;22,9;44,2;0,00 %;79,10 %;73,30 %;0;9,8;14,2;0,00 %;8,10 %;9,50 %;0,00 %;5,60 %;5,30 %;0;240,8;151,3;0;0,43;1,01;0,8;0,84;0,88;0,00 %;0,80 %;0,60 %;0;160,9;118,8;0;160,9;118,8;0;127,3;87,1
LeadDesk;9,1;11;13;24,70 %;21,30 %;17,70 %;-0,8;0,8;1,3;-9,20 %;7,00 %;9,90 %;0;0;8;-278,50 %;60,80 %;34,80 %;-28,20 %;24,60 %;21,70 %;0;0;54,9;-0,24;0,11;0,25;0;0;0;0,00 %;0,00 %;0,00 %;133;0,7;24,6;-2,4;1,6;46,3;0,2;0,1;4,6
Aallon Group;14,4;15,4;17,1;11,90 %;6,70 %;11,10 %;1,7;2,1;1,8;11,70 %;13,60 %;10,30 %;0;0;5;147,90 %;90,30 %;13,50 %;185,40 %;114,50 %;34,10 %;0;0;30,1;0,38;0,47;0,39;0;0,48;0,22;0,00 %;0,00 %;1,90 %;-0,8;-0,7;17;-1;-0,8;20,3;-0,1;-0,1;2,1
Relais Group;60,4;72,5;102,3;2,60 %;19,90 %;41,10 %;6,1;5,7;7,2;10,20 %;7,90 %;7,10 %;0;0;2,2;44,70 %;22,70 %;0,60 %;17,50 %;15,80 %;9,30 %;0;0;15,6;2,51;0,67;0,56;0;0;0,13;0,00 %;0,00 %;1,50 %;2,6;2;12,7;3,5;3;23,4;0,4;0,2;1,7
Fodelia;11,7;15,4;20,3;25,20 %;31,50 %;32,10 %;0,7;1,6;1,2;6,20 %;10,40 %;5,70 %;0;0;7,5;44,40 %;87,40 %;17,70 %;26,00 %;33,40 %;13,40 %;0;0;28,2;0,09;0,21;0,22;0;0;0,03;0,00 %;0,00 %;0,50 %;0,9;2,2;28,4;1,3;2,5;39,4;0,1;0,3;2,3
